,V,X,Y,Z
300,274199,25.62169053,23.05334379,19.94096882
301,343363,24.51417546,24.85517404,26.2461805
302,243148,19.79376525,22.13035278,19.45495895
303,334293,23.37834785,23.58470474,23.28589868
304,326218,24.43688355,24.14504766,22.45710734
305,275205,22.74924087,24.77578607,29.05867372
306,371380,25.3903821,28.38704053,30.13380793
307,274032,23.84265459,24.00728633,19.59757779
308,338741,26.0819646,23.54480944,25.6055653
309,225693,21.69754638,24.68821065,19.57426691
310,274326,23.46731354,25.56003136,29.30687053
311,256891,26.80944849,24.7136982,16.21828535
312,335383,24.05608832,23.37085986,22.10814731
313,342400,23.99093346,24.4269158,26.85477767
314,284326,25.90611042,26.05198137,15.0933194
315,281020,25.35596986,25.21580371,23.38021638
316,374743,25.97445519,24.96976476,25.58702554
317,306454,23.81241222,25.97752809,27.63948385
318,351334,24.74836122,26.43734094,25.10758078
319,260388,27.44477922,25.11335065,26.30067532
320,340641,27.16209774,25.93237982,17.57115614
321,328727,23.86454052,24.650337,22.30766069
322,130948,16.7,21.88319185,33.55398981
323,330688,24.59123136,23.19020455,22.63857876
324,163172,27.09529334,27.83377527,13.88531654
325,289414,21.04664039,22.57535661,22.37743994
326,387713,24.50721204,23.78809839,24.89178454
327,307611,24.15770515,23.26752768,24.485767
328,342707,24.84226261,24.57399103,25.14931949
329,224275,25.5059761,23.02245563,25.44995774
330,324255,25.88680186,25.73753324,21.22697806
331,331836,25.29383461,24.59794487,25.50937857
332,277357,29.97490234,26.45654297,18.93701172
333,248870,24.91611503,22.83678785,28.82615301
334,252815,23.08716086,23.5130314,19.84308908
335,141023,19.31368785,12.30620081,21.86216164
336,359091,26.59273709,25.64548319,20.48364346
337,286305,24.40806164,25.20313821,27.71182937
338,273803,25.04882388,24.25904329,25.6469658
339,322057,25.02518828,25.07556485,23.86535565
340,369220,23.78708169,25.56956013,27.65665644
341,368137,24.00728262,24.66161542,22.89855819
342,141439,33.00246305,31.63793103,26.04468684
343,408301,26.58089358,26.66885747,27.28407356
344,232468,27.56205736,21.27098572,25.84209915
345,311749,21.47911612,26.29436742,30.41663778
346,246258,14.32348401,26.41742007,26.39669239
347,255922,26.49994711,23.59050037,26.79138898
348,338428,26.71451381,25.82731918,21.77622545
349,281866,26.83476003,27.09752813,30.14946619
350,263523,27.84609849,26.49861211,13.10733011
351,261753,26.13193944,25.2667628,26.56947162
352,190141,15.22621236,23.07069136,17.52679203
353,286806,27.52437989,26.66292559,19.11260964
354,311451,27.30429491,26.80559903,15.68909755
355,321544,24.34940165,26.15641328,24.80852857
356,374896,23.55168669,25.7769654,27.77160851
357,270671,25.35834502,25.7357243,27.93728712
358,320093,23.919724,25.91231908,28.15996298
359,230163,18.72760234,20.10269006,22.47719298
360,330351,30.25702351,26.80907527,19.29248915
361,334950,24.38329041,24.59055055,22.92949131
362,292232,25.11919061,25.59983369,20.74184607
363,229490,24.44336837,23.32939648,26.24436046
364,297746,26.11169395,24.61038256,27.33643846
365,273588,24.57147105,22.81730769,24.49544013
366,306872,24.91903585,20.83974925,23.892813
367,381591,24.83718635,24.80152241,26.20052157
368,420666,24.16263131,25.41461696,26.89315911
369,247501,24.44188333,24.37131309,20.55702425
370,354382,28.03371642,26.04208844,21.36068194
371,317933,22.88796328,25.35251615,30.48461408
372,306590,25.06714903,22.87417277,24.75249272
373,353575,23.62886834,25.81470161,28.82387102
374,264611,24.16600143,25.17531471,18.49247774
375,209941,28.60259207,21.695111,25.05222636
376,328913,26.56615839,27.59132645,30.52147893
377,240285,24.48915852,25.77272217,13.8352994
378,279995,25.39978842,25.11165609,25.79871129
379,282807,21.3844612,26.61286628,16.49642073
380,205782,21.72208339,24.7231356,13.32250427
381,344793,25.93857109,25.53611394,25.34016746
382,309354,25.0509024,23.99684598,24.54406869
383,274823,28.83756494,24.39672581,27.37212038
384,322540,27.2519461,25.1938562,20.06009877
385,309041,25.20635337,25.90776232,24.98932353
386,278664,28.23702842,27.86276792,20.81873727
387,211726,31.51450479,28.34837061,16.02057508
388,196446,15.84998631,26.585683,16.39816589
389,265710,22.27311436,23.70316302,18.09053122
390,300838,24.20522052,23.7229523,24.43276328
391,292947,21.38670223,25.28867022,26.37759794
392,306990,28.41131579,29.06236842,28.37833333
393,286106,30.69552465,27.23237771,16.13047592
394,319620,24.76084567,23.36913319,25.49133192
395,252030,26.82263586,25.33279846,26.30819427
396,327854,25.66227239,24.25006179,25.9436434
397,149608,15.99513864,21.40097227,22.15736406
398,349458,27.30965491,27.96727414,29.08390849
399,278805,25.33095123,25.91530662,26.81255432
400,307416,24.46508146,25.50893879,25.43320123
401,380805,26.49513874,26.81356894,27.82960755
402,336268,23.35462537,25.54899589,27.98427293
403,326267,21.77942031,26.40818869,30.52952413
404,249823,21.55011933,22.91180299,17.41191148
405,276232,26.36387665,23.41967695,20.87058248
406,303728,24.79814963,23.95258429,24.3737212
407,278097,25.57000291,26.85204922,29.0257727
408,304869,23.67978723,24.86453901,21.77757092
409,371704,24.62183349,24.61116353,24.85098352
410,288610,27.7694177,23.5270586,25.45378073
411,251229,28.28384326,26.91916264,32.10477724
412,283810,24.2187619,23.32580952,23.0507619
413,366600,25.45395075,25.00962881,26.22388828
414,230575,28.0704588,25.46090824,30.71933521
415,203991,24.65943084,19.42435473,25.72045003
416,274274,28.70653454,22.62784537,24.92611852
417,372218,24.58157991,24.95333091,24.19534037
418,287192,23.78862399,25.61563732,17.73906514
419,402314,24.93621454,22.98259175,24.75386477
420,148916,22.19493993,16.75500546,22.74881689
421,267142,25.15715008,26.2,29.19868621
422,270981,23.63674197,24.85830361,27.64288545
423,341172,24.33568764,24.73676692,23.75390842
424,266715,20.04207645,25.42968671,16.90084153
425,185876,24.16062101,24.4281776,13.30687754
426,304524,28.75169039,26.12624555,19.32588968
427,309957,26.13129904,25.51865737,21.53156059
428,297622,24.42051748,25.89577848,27.49959147
429,345829,24.48787189,25.28612921,25.24664416
430,286842,25.48370998,23.01233522,24.34670433
431,311221,24.69116497,25.88072279,21.46868213
432,254483,26.02056828,25.14832485,17.59541985
433,279940,24.99923143,25.84955327,30.18359112
434,233834,29.98134798,21.58221765,28.22210779
435,339871,24.58187903,24.69909953,23.43684756
436,316636,24.0002556,24.16827128,23.41484195
437,223031,20.64473207,25.58001693,12.71682593
438,160016,22.21152554,18.49092742,23.5015121
439,182122,24.56866197,18.49589202,25.62030516
440,262223,25.90589324,24.28232027,20.08814152
441,302060,24.3505219,23.59434383,22.0642341
442,333939,24.05876623,25.65219156,24.89439935
443,166018,20.68240831,20.01752678,22.49480688
444,254932,20.0549752,22.88751715,19.91695684
445,316479,24.11335099,22.33535492,24.13103272
446,205083,28.24644362,22.76672813,23.04728662
447,264919,32.20223796,27.3311775,19.49676625
448,321925,23.1968246,23.5265457,21.19010417
449,210779,21.01565508,26.56140126,14.54728603
450,298278,21.70473437,25.60137333,27.60146368
451,300409,23.66951055,25.49016614,25.75895824
452,219372,26.06504165,25.03527683,22.58623224
453,280385,24.47467438,24.4089725,20.20771828
454,281638,23.10308784,25.59234753,15.30466053
455,272144,24.22767769,26.26479905,25.38913087
456,308235,25.31253291,24.39722661,27.90416008
457,289311,24.47136482,26.3779286,31.33915954
458,355911,24.09147357,24.824398,26.23761926
459,314665,24.17069616,25.92215364,26.44050069
460,352630,24.00397523,25.30762174,27.72303341
461,318287,26.09600881,25.13481908,27.91254978
462,298088,24.63209518,23.17010262,21.55889565
463,366381,26.77167801,24.80941107,22.0130216
464,222878,27.69932838,21.53478052,27.59054929
465,307450,25.08784492,24.33566189,22.68573175
466,245883,22.82033824,25.41093784,14.43070503
467,321523,24.84179983,24.36904962,25.40075694
468,308251,23.07272092,26.50721091,28.32462197
469,289167,25.77382287,24.96664798,24.43432362
470,230777,25.80985095,21.95412203,25.78970657
471,369382,24.79677419,25.63335777,25.11554252
472,373639,23.84216216,25.98291892,25.88
473,178781,15.14957524,24.02882282,14.73938107
474,235289,18.2055709,21.77186924,18.30720534
475,304167,25.32230599,25.77002217,17.78784922
476,325282,25.55344082,26.52817487,29.92245678
477,190921,25.11746303,21.83603527,25.0948521
478,294099,25.27551209,25.77994095,19.58230301
479,318195,24.75050761,24.28544839,21.71632826
480,317461,27.75902689,25.81425523,18.68920188
481,150555,35.4497307,26.34219031,14.03967684
482,248196,20.95567686,22.30895197,22.11168122
483,292963,24.92020639,26.68211554,27.12890445
484,226192,25.94713027,24.72779233,12.75339367
485,297630,27.21009624,23.71781369,25.61703287
486,224951,16.16360382,22.66217184,19.16789976
487,229308,29.18443974,28.88841808,14.70386064
488,315060,24.689765,26.23921839,28.27743824
489,285410,22.91218369,20.88331771,22.75407685
490,325774,28.18345114,25.93014553,19.46361746
491,329121,25.20083408,26.24989778,24.96949873
492,186057,18.27917555,22.15806681,29.4217484
493,285685,25.1565921,22.06168491,24.70233222
494,323794,23.59749583,25.56819699,27.74791319
495,282422,25.57726619,24.52489209,18.38071942
496,329087,23.4312886,24.248662,19.04561548
497,349654,23.53442421,26.46217969,29.78589071
498,374332,25.23455808,26.56386518,28.94966006
499,275408,22.52686801,24.90086291,16.045303
500,298635,21.25535182,23.88320838,20.64718634
