,volume,surface,mean breadth,euler
252,1223140,310200.428,1601.105,-266.5
253,1453598,361056.017,-374.216,-946
254,1593925,347985.578,-1609.074,-547
255,1635544,354891.539,-1324.004,-1507.5
256,1626391,364623.831,-2339.209,-2151.5
257,1573594,330919.118,-945.05,-1374
258,1615550,368614.112,-2533.394,-1638
259,1481061,323834.48,130.11,-1204
260,1632144,308254.915,-523.789,-1134
261,1421419,324741.287,455.438,-918
262,1429861,313005.356,1231.361,-548
263,1416843,299087.815,1079.09,-735
264,1252850,350171.516,1940.726,-571.5
265,1432994,357073.697,-362.65,-1158.5
266,1424434,325130.081,948.497,-748
267,1721504,351177.351,-3261.349,-1540
268,2043477,175111.047,-6396.669,727.5
269,1222950,314721.447,1720.238,-122.5
270,1279930,308873.381,1852.804,-89.5
271,1718192,362199.228,-3673.937,-2313
272,1846872,340518.249,-7666.364,-2024
273,1414115,328780.043,1290.831,-1172.5
274,1291371,318690.985,1813.016,-156.5
275,1604108,337571.386,-1338.049,-1647.5
276,1368675,342294.535,1055.073,-1116
277,1469070,336971.034,-85.885,-760
278,1981623,237528.355,-8369.056,89.5
279,1394035,314718.306,1143.402,-906.5
280,1643194,373062.458,-2141.443,-2303
281,1390137,319191.292,1530.585,-558.5
282,1478114,313131.733,417.44,-1083
283,1434371,313620.967,388.106,-1148
284,1251510,305646.693,1924.33,-259.5
285,1520148,298231.902,406.601,-838
286,1373748,314690.976,1305.463,-474.5
287,1283407,306794.042,1741.134,-186.5
288,1264387,316894.807,2140.499,-518
289,1567638,282349.998,54.921,-880.5
290,1342325,313203.703,1658.985,-330
291,1346416,326928.189,2039.524,-719
292,1231661,308409.09,2509.828,-219.5
293,1774776,351326.702,-5854.422,-1945
294,1607611,303785.622,-562.996,-1034
295,1417672,318341.703,823.389,-950.5
296,1639152,344013.6,-2022.669,-1277
297,1509909,311187.803,-259.077,-771.5
298,1609527,369514.379,-2138.728,-1759.5
299,1584181,377430.497,-1613.381,-1494
300,1441213,313143.116,1129.883,-613
